Enable_Stream,Stream_Name,,,is_Internal,IP version,Protocol,FrameLength,Modifier,TimeOut,EOL
0,Subsribers_P_silver_ftp_ext,,,0,IPV4,TCP,1500,20000,120,EOL
0,Subsribers_P_silver_skype_int,,,1,IPV4,UDP,1500,20000,20,EOL
0,Subsribers_P_silver_skype_ext,,,0,IPV4,UDP,1500,20000,20,EOL
1,Tethering BG_int,,,1,IPV4,TCP,128,22500,120,EOL
1,Tethering BG_ext,,,0,IPV4,TCP,128,22500,120,EOL
1,Tethering-DNS_int,,,1,IPV4,UDP,128,22500,20,EOL
1,Tethering-DNS_ext,,,0,IPV4,UDP,128,22500,20,EOL
1,Tethering-HTTP_int,,,1,IPV4,TCP,128,22500,120,EOL
1,Tethering-HTTP_ext,,,0,IPV4,TCP,128,22500,120,EOL
1,Time_half_quarter_int,,,1,IPV4,UDP,512,112500,20,EOL
1,Time_half_quarter_ext,,,0,IPV4,UDP,512,112500,20,EOL
1,Tos_Tos10-to-1_vc(QinQ)_int,,,1,IPV4,TCP,1024,67500,120,EOL
1,Tos_Tos10-to-1_vc(QinQ)_ext,,,0,IPV4,TCP,1024,67500,120,EOL
1,Tos_Tos20-to-45_vc(QinQ)_int,,,1,IPV4,TCP,1024,67500,120,EOL
1,Tos_Tos20-to-45_vc(QinQ)_ext,,,0,IPV4,TCP,1024,67500,120,EOL
1,UDS_HTTP_GET_int,,,1,IPV4,TCP,1500,28800,120,EOL
1,UDS_HTTP_GET_ext,,,0,IPV4,TCP,1500,28800,120,EOL
